Timestamp,,  1. What is your age?  ,2. What is your gender? Male Female Prefer not to say,  3. What is your current occupation?  ,  4. What is your highest educational qualification?  ,  5. Which AI tool do you use most frequently?  ,  6. How often do you use AI tools?  ,"7. On average, how much time do you spend using AI tools each day? ",8. For which of the following purposes do you use AI? (Select all that apply) ,"9. When you are given a new task, how often do you consult AI before attempting it yourself? ","  10. If AI tools were unavailable for a week, how confident would you feel completing your regular tasks?  ","  11. When you receive an answer from AI, how often do you check whether the information is correct?  ",12. How often do you try to solve a problem yourself before asking AI for help? Never,"  13. When AI provides a solution, how often do you try to understand how that solution was reached?  ",14. How often do you compare AI-generated information with other sources before using it? ,15. How often do you use AI to complete a task that you could have completed without AI? ,"  16. When facing a difficult problem, what is usually your first approach?  ","  17. Since you started using AI tools, how has the amount of time you spend researching information changed?  ","  18. Since you started using AI tools, how has the amount of independent thinking you do changed?  ",  19. How often do you accept AI-generated answers without questioning them?  ,"  20. When AI gives an answer that differs from your own understanding, what do you usually do?  ",  21. To what extent has AI improved your productivity?  ,  22. To what extent has AI improved your learning or understanding of new topics?  ,23. How often do you depend on AI for tasks that previously required your own research or analysis? ,"24. In your opinion, does frequent AI use affect a person's independent thinking ability? ","25. Overall, how would you describe AI's impact on your daily decision-making and problem-solving? ",  1. What is your age?  
05-06-2026 13:49,,50,Male,Working Professional,Postgraduate,"ChatGPT, Gemini, Microsoft Copilot",Often,15–30 minutes,Work-related Tasks,Sometimes,Slightly confident,Sometimes,Often,Sometimes,Sometimes,Sometimes,Use a combination of methods,No change,No change,Sometimes,Compare both viewpoints,Moderately,Moderately,Sometimes,Somewhat Positive Effect,Positive,
05-06-2026 13:51,,14,Female,Student,Other,ChatGPT,Sometimes,Less than 15 minutes,Studying and Learning,Rarely,Very confident,Often,Always,Often,Sometimes,Rarely,"Search online, Ask a teacher, colleague, or friend",Decreased significantly,No change,Rarely,Trust my own understanding completely,Slightly,Moderately,Rarely,Strongly Negative Effect,Neutral,
05-06-2026 14:00,,18–20 years,Female,Student,Undergraduate,I do not use AI tools,Rarely,Less than 15 minutes,Studying and Learning,Rarely,Very confident,Sometimes,Often,Rarely,Sometimes,Sometimes,Use a combination of methods,No change,No change,Sometimes,Compare both viewpoints,Slightly,Moderately,Sometimes,Somewhat Negative Effect,Neutral,
05-06-2026 14:35,,18–20 years,Female,Student,Higher Secondary,"Gemini, Microsoft Copilot",Sometimes,Less than 15 minutes,"Studying and Learning, Writing and Communication, Research, Entertainment",Sometimes,Moderately confident,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,"Solve it independently, Search online, Ask AI, Use a combination of methods",Decreased slightly,Decreased slightly,Sometimes,"Compare both viewpoints, Usually trust my own understanding",Moderately,Moderately,Sometimes,Somewhat Negative Effect,Neutral,
05-06-2026 14:47,,18–20 years,Female,Student,Undergraduate,ChatGPT,Sometimes,Less than 15 minutes,"Studying and Learning, Writing and Communication, Work-related Tasks",Sometimes,Not confident at all,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,"Solve it independently, Ask AI, Ask a teacher, colleague, or friend",No change,No change,Rarely,Compare both viewpoints,Moderately,Moderately,Sometimes,Somewhat Negative Effect,Neutral,
05-06-2026 14:47,,18–20 years,Female,Student,Higher Secondary,"ChatGPT, Gemini, Claude",Sometimes,15–30 minutes,"Studying and Learning, Writing and Communication, Work-related Tasks",Sometimes,Moderately confident,Sometimes,Rarely,Never,Rarely,Always,Solve it independently,No change,No change,Rarely,Usually trust my own understanding,Not at all,Moderately,Rarely,No Effect,Neutral,
05-06-2026 14:58,,18–20 years,Female,Student,Undergraduate,ChatGPT,Very Often,30–60 minutes,"Studying and Learning, Writing and Communication, Work-related Tasks, Research, Entertainment",Often,Moderately confident,Never,Sometimes,Sometimes,Sometimes,Often,"Solve it independently, Search online, Ask AI, Use a combination of methods",Increased significantly,Increased significantly,Rarely,Usually trust AI,Moderately,"Slightly, Moderately",Sometimes,Strongly Negative Effect,Neutral,
05-06-2026 15:07,,18–20 years,Female,Student,Undergraduate,"ChatGPT, Gemini, Claude",Sometimes,15–30 minutes,"Writing and Communication, Work-related Tasks, Coding and Programming, Research",Rarely,Very confident,Always,Always,Always,Always,"Rarely, Sometimes","Solve it independently, Use a combination of methods",Decreased significantly,Decreased slightly,Never,Compare both viewpoints,Extremely,Extremely,Sometimes,"Somewhat Negative Effect, Somewhat Positive Effect",Neutral,
05-06-2026 15:12,,18–20 years,Female,Student,Undergraduate,ChatGPT,Sometimes,Less than 15 minutes,Studying and Learning,Rarely,Very confident,Never,Rarely,Sometimes,Sometimes,Sometimes,Ask AI,Decreased slightly,No change,Often,Usually trust AI,Moderately,Not at all,Rarely,Strongly Positive Effect,Neutral,
05-06-2026 15:14,,18–20 years,Female,Student,Undergraduate,ChatGPT,Rarely,Less than 15 minutes,"Studying and Learning, Entertainment",Never,Extremely confident,Always,Never,Never,Rarely,Rarely,Solve it independently,No change,No change,Rarely,Trust my own understanding completely,Not at all,Moderately,Sometimes,Somewhat Negative Effect,Neutral,
